"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","estimand","context"
0.013360750497862,0.00243125158883087,0.00859558494639774,0.0181259160493263,"X_primary","model_2","Summary",3.89779896651493e-08,0,0.776501536969018,17,"REML","dynamic","creation"
0.013301159824818,0.00249231179320442,0.00841631847189286,0.0181860011777431,"X_primary","model_3","Summary",9.45614876382122e-08,0,0.813149580007116,17,"REML","dynamic","creation"
0.0138639917605392,0.00271621943067288,0.00854029950231249,0.019187684018766,"X_primary","model_4","Summary",3.32284408745726e-07,6.98644231780044e-06,0.537926334910611,17,"REML","dynamic","creation"
0.0119599659604875,0.00267922707707389,0.00670877738301814,0.0172111545379568,"X_primary","model_5","Summary",8.04581064032846e-06,6.58859365707172e-06,0.280569510295003,17,"REML","dynamic","creation"
-0.00160275136990553,0.00159649113465205,-0.00473181649546104,0.00152631375564998,"egoX_gender_m_fd","model_1","Summary",0.315416574730339,2.23378298268058e-05,0.00522751620492941,17,"REML","dynamic","creation"
-0.00253243665230321,0.00137558420358188,-0.0052285321490259,0.000163658844419481,"egoX_gender_m_fd","model_2","Summary",0.0656230359413223,5.1320248267653e-06,0.284451164678767,17,"REML","dynamic","creation"
-0.00133443996558205,0.00132278902514032,-0.00392705881400193,0.00125817888283783,"egoX_gender_m_fd","model_3","Summary",0.313066790827136,7.59893701428973e-06,0.151314909796589,17,"REML","dynamic","creation"
-0.00175022020463623,0.00155957645108472,-0.00480693387989908,0.00130649347062662,"egoX_gender_m_fd","model_4","Summary",0.261760102003341,1.98154072728122e-05,0.0106336197205019,17,"REML","dynamic","creation"
-0.00188603402625668,0.00139430468129964,-0.00461882098507957,0.000846752932566214,"egoX_gender_m_fd","model_5","Summary",0.176161098542288,1.07545574705226e-05,0.0821402210500367,17,"REML","dynamic","creation"
0.000473606312115803,0.00284011112937528,-0.00509290921355113,0.00604012183778273,"altX_gender_m_fd","model_1","Summary",0.86756183554474,9.47520731286024e-05,7.97485779000954e-07,17,"REML","dynamic","creation"
2.58781117002642e-06,0.00202821300940402,-0.00397263664023745,0.0039778122625775,"altX_gender_m_fd","model_2","Summary",0.998981973782318,3.27943918315331e-05,0.00797976603410172,17,"REML","dynamic","creation"
0.000770865816068628,0.00210577838513596,-0.00335638397822077,0.00489811561035802,"altX_gender_m_fd","model_3","Summary",0.714311594416617,4.32147107170424e-05,0.000449644066500851,17,"REML","dynamic","creation"
0.00126284784395996,0.0026274415459114,-0.00388684295751063,0.00641253864543055,"altX_gender_m_fd","model_4","Summary",0.630773912797807,7.94760357374777e-05,3.17048009912825e-06,17,"REML","dynamic","creation"
0.000516194159175962,0.00234426119151933,-0.00407847334655688,0.00511086166490881,"altX_gender_m_fd","model_5","Summary",0.825719434636519,5.63692368242513e-05,0.000136406882273258,17,"REML","dynamic","creation"
