"effect","model","estimand","est_cr","se_cr","est_mt","se_mt","diff","diff_se"
"X_primary","model_2","accumulated",0.072489283038699,0.0135398440881066,0.306353495662507,0.0489728618092601,-0.233864212623808,0.0508101227288335
"X_primary","model_2","dynamic",0.013360750497862,0.00243125158883087,0.0575540085933281,0.0072176074309138,-0.0441932580954661,0.00761609094713126
"X_primary","model_2","static",0.0136841736023013,0.0023808545522162,0.0601635029208374,0.00658204813154774,-0.0464793293185361,0.00699941611885018
"X_primary","model_3","accumulated",0.0753812650763395,0.0143600753020124,0.346339935712834,0.0438809400774339,-0.270958670636495,0.0461708638078043
"X_primary","model_3","dynamic",0.013301159824818,0.00249231179320442,0.0631418156297715,0.00745717573985784,-0.0498406558049535,0.00786263874851631
"X_primary","model_3","static",0.0140328610124663,0.00256440952596128,0.0598417486894554,0.00641775368146583,-0.0458088876769892,0.00691113294133525
"X_primary","model_4","accumulated",0.072890485735414,0.015508502741975,0.287806218783479,0.0424217183547665,-0.214915733048065,0.0451676415752359
"X_primary","model_4","dynamic",0.0138639917605392,0.00271621943067288,0.0560185923285425,0.00674086929298522,-0.0421546005680033,0.00726754200680505
"X_primary","model_4","static",0.0146706367669691,0.00280090728571399,0.0535565521922766,0.00589144182188436,-0.0388859154253074,0.00652335560611361
"X_primary","model_5","accumulated",0.0576347379282237,0.0144242852547223,0.257725705759983,0.049027241475544,-0.200090967831759,0.0511050918383961
"X_primary","model_5","dynamic",0.0119599659604875,0.00267922707707389,0.0543202312434469,0.0089104109582055,-0.0423602652829594,0.0093044979001897
"X_primary","model_5","static",0.0124400513314714,0.00273284496691472,0.0532776976095114,0.00751585788733081,-0.0408376462780399,0.00799728462640563
